uid,namedLocation,domainID,siteID,plotID,trapID,weighDate,setDate,collectDate,eventID,ovenStartDate,ovenEndDate,fieldSampleID,sampleCondition,massSampleID,samplingProtocolVersion,biogeoSample,functionalGroup,dryMass,qaDryMass,remarks,measuredBy
"a6937c8e-6e58-4bf3-a9ab-b53a4391f2cf","BART_041.basePlot.ltr","D01","BART","BART_041","BART_041_292","2019-08-12","2019-07-08","2019-08-05","LTR.2019.BART.04","2019-08-07T20:45Z","2019-08-12T14:34Z","NEON.LTR.BART041292.20190805",,"NEON.LTR.BART041292.20190805.SDS","NEON.DOC.001710vG","N","Seeds",0.7500,"N",,
"08bdd701-87b4-4c10-ab4e-cc2c6805b3ca","BART_034.basePlot.ltr","D01","BART","BART_034","BART_034_855","2019-08-12","2019-07-08","2019-08-05","LTR.2019.BART.04","2019-08-07T20:45Z","2019-08-12T15:00Z","NEON.LTR.BART034855.20190805",,"NEON.LTR.BART034855.20190805.NDL","NEON.DOC.001710vG","N","Needles",2.4000,"N",,
"656899f3-ece3-4372-b3c1-0f5ed01dffa0","BART_071.basePlot.ltr","D01","BART","BART_071","BART_071_579","2019-08-12","2019-07-08","2019-08-05","LTR.2019.BART.04","2019-08-07T20:45Z","2019-08-12T15:00Z","NEON.LTR.BART071579.20190805",,"NEON.LTR.BART071579.20190805.MXT","NEON.DOC.001710vG","N","Mixed",2.4100,"N",,
"d7729486-68c1-422a-9cd1-36139ea670ce","BART_041.basePlot.ltr","D01","BART","BART_041","BART_041_578","2019-08-12","2019-07-08","2019-08-05","LTR.2019.BART.04","2019-08-07T20:45Z","2019-08-12T14:01Z","NEON.LTR.BART041578.20190805",,"NEON.LTR.BART041578.20190805.OTH","NEON.DOC.001710vG","N","Other",1.0500,"N",,
"f6997036-d165-4793-b06f-cc6bc82d491c","BART_071.basePlot.ltr","D01","BART","BART_071","BART_071_165","2019-08-12","2019-07-08","2019-08-05","LTR.2019.BART.04","2019-08-07T20:45Z","2019-08-12T15:00Z","NEON.LTR.BART071165.20190805",,"NEON.LTR.BART071165.20190805.NDL","NEON.DOC.001710vG","N","Needles",0.4900,"N",,
"02dba9ab-a307-465a-977e-49b3a9341824","BART_071.basePlot.ltr","D01","BART","BART_071","BART_071_165","2019-08-12","2019-07-08","2019-08-05","LTR.2019.BART.04","2019-08-07T20:45Z","2019-08-12T15:00Z","NEON.LTR.BART071165.20190805",,"NEON.LTR.BART071165.20190805.TWI","NEON.DOC.001710vG","N","Twigs/branches",0.0050,"N",,
"2ae7abcb-ec63-4dea-b490-27048a1752ea","BART_070.basePlot.ltr","D01","BART","BART_070","BART_070_790","2019-08-12","2019-07-08","2019-08-05","LTR.2019.BART.04","2019-08-07T20:45Z","2019-08-12T14:59Z","NEON.LTR.BART070790.20190805",,"NEON.LTR.BART070790.20190805.NDL","NEON.DOC.001710vG","N","Needles",1.4900,"N",,
"56126a99-6cb4-4b00-a663-9239ef389967","BART_070.basePlot.ltr","D01","BART","BART_070","BART_070_790","2019-08-12","2019-07-08","2019-08-05","LTR.2019.BART.04","2019-08-07T20:45Z","2019-08-12T14:59Z","NEON.LTR.BART070790.20190805",,"NEON.LTR.BART070790.20190805.WDY","NEON.DOC.001710vG","N","Woody material",0.5500,"N",,
"386985f3-73a4-4204-b44a-96498f9df6c4","BART_032.basePlot.ltr","D01","BART","BART_032","BART_032_293","2019-08-12","2019-07-08","2019-08-05","LTR.2019.BART.04","2019-08-07T20:45Z","2019-08-12T15:00Z","NEON.LTR.BART032293.20190805",,"NEON.LTR.BART032293.20190805.LVS","NEON.DOC.001710vG","N","Leaves",0.5000,"N",,
"d0cb896c-f784-4898-b521-569178ff2cd1","BART_034.basePlot.ltr","D01","BART","BART_034","BART_034_855","2019-08-12","2019-07-08","2019-08-05","LTR.2019.BART.04","2019-08-07T20:45Z","2019-08-16T14:11Z","NEON.LTR.BART034855.20190805",,"NEON.LTR.BART034855.20190805.LVS","NEON.DOC.001710vG","N","Leaves",0.8600,"Y",,
"b491a6c0-2b64-47b7-b12a-f711f30ef2bf","BART_073.basePlot.ltr","D01","BART","BART_073","BART_073_539","2019-08-12","2019-07-08","2019-08-05","LTR.2019.BART.04","2019-08-07T20:45Z","2019-08-16T14:17Z","NEON.LTR.BART073539.20190805",,"NEON.LTR.BART073539.20190805.MXT","NEON.DOC.001710vG","N","Mixed",2.1100,"Y",,
"cf424d02-6e02-4d07-985b-4fd679b7eff0","BART_032.basePlot.ltr","D01","BART","BART_032","BART_032_293","2019-08-12","2019-07-08","2019-08-05","LTR.2019.BART.04","2019-08-07T20:45Z","2019-08-12T15:00Z","NEON.LTR.BART032293.20190805",,"NEON.LTR.BART032293.20190805.MXT","NEON.DOC.001710vG","N","Mixed",0.0000,"N",,
"e747e798-a39d-4607-b9e4-54b1086c10a1","BART_032.basePlot.ltr","D01","BART","BART_032","BART_032_662","2019-08-12","2019-07-08","2019-08-05","LTR.2019.BART.04","2019-08-07T20:45Z","2019-08-12T15:00Z","NEON.LTR.BART032662.20190805",,"NEON.LTR.BART032662.20190805.MXT","NEON.DOC.001710vG","N","Mixed",0.9900,"N",,
"fa002c54-b6e4-4d40-92e0-0c3ec45b7336","BART_040.basePlot.ltr","D01","BART","BART_040","BART_040_158","2019-08-12","2019-07-08","2019-08-05","LTR.2019.BART.04","2019-08-07T20:45Z","2019-08-12T14:16Z","NEON.LTR.BART040158.20190805",,"NEON.LTR.BART040158.20190805.SDS","NEON.DOC.001710vG","N","Seeds",0.1900,"N",,
"836dca4b-026d-4b21-827b-711beff7debe","BART_047.basePlot.ltr","D01","BART","BART_047","BART_047_046","2019-08-12","2019-07-08","2019-08-05","LTR.2019.BART.04","2019-08-07T20:45Z","2019-08-12T15:00Z","NEON.LTR.BART047046.20190805",,"NEON.LTR.BART047046.20190805.MXT","NEON.DOC.001710vG","N","Mixed",2.5400,"N",,
"fa78b719-d1d5-43da-b721-6ca4f3b777b8","BART_041.basePlot.ltr","D01","BART","BART_041","BART_041_292","2019-08-12","2019-07-08","2019-08-05","LTR.2019.BART.04","2019-08-07T20:45Z","2019-08-12T14:34Z","NEON.LTR.BART041292.20190805",,"NEON.LTR.BART041292.20190805.WDY","NEON.DOC.001710vG","N","Woody material",0.0400,"N",,
"bebbf3e8-990f-43d1-95cf-361abffead13","BART_041.basePlot.ltr","D01","BART","BART_041","BART_041_578","2019-08-12","2019-07-08","2019-08-05","LTR.2019.BART.04","2019-08-07T20:45Z","2019-08-12T14:01Z","NEON.LTR.BART041578.20190805",,"NEON.LTR.BART041578.20190805.SDS","NEON.DOC.001710vG","N","Seeds",0.0500,"N",,
"27373db8-3522-48ba-9dd0-8549d6153cba","BART_071.basePlot.ltr","D01","BART","BART_071","BART_071_165","2019-08-12","2019-07-08","2019-08-05","LTR.2019.BART.04","2019-08-07T20:45Z","2019-08-12T15:00Z","NEON.LTR.BART071165.20190805",,"NEON.LTR.BART071165.20190805.SDS","NEON.DOC.001710vG","N","Seeds",0.0050,"N",,
"d8886fa9-1044-4af1-81a0-9fd0e641e059","BART_032.basePlot.ltr","D01","BART","BART_032","BART_032_293","2019-08-12","2019-07-08","2019-08-05","LTR.2019.BART.04","2019-08-07T20:45Z","2019-08-12T15:00Z","NEON.LTR.BART032293.20190805",,"NEON.LTR.BART032293.20190805.WDY","NEON.DOC.001710vG","N","Woody material",0.0050,"N",,
"c3fbdbb8-ac9b-44df-81a3-35753380978a","BART_034.basePlot.ltr","D01","BART","BART_034","BART_034_855","2019-08-12","2019-07-08","2019-08-05","LTR.2019.BART.04","2019-08-07T20:45Z","2019-08-12T15:00Z","NEON.LTR.BART034855.20190805",,"NEON.LTR.BART034855.20190805.FLR","NEON.DOC.001710vG","N","Flowers",0.0700,"N",,
"b3637bdc-3cd3-4514-bae6-dafc4055e1ca","BART_070.basePlot.ltr","D01","BART","BART_070","BART_070_790","2019-08-12","2019-07-08","2019-08-05","LTR.2019.BART.04","2019-08-07T20:45Z","2019-08-12T14:59Z","NEON.LTR.BART070790.20190805",,"NEON.LTR.BART070790.20190805.MXT","NEON.DOC.001710vG","N","Mixed",1.1000,"N",,
"e0835e76-e86c-4fb4-8f0a-942cddf38c48","BART_034.basePlot.ltr","D01","BART","BART_034","BART_034_855","2019-08-12","2019-07-08","2019-08-05","LTR.2019.BART.04","2019-08-07T20:45Z","2019-08-12T15:00Z","NEON.LTR.BART034855.20190805",,"NEON.LTR.BART034855.20190805.OTH","NEON.DOC.001710vG","N","Other",0.2500,"N",,
"bde60f56-47bd-4981-8b7f-95e9dfbc6fca","BART_070.basePlot.ltr","D01","BART","BART_070","BART_070_790","2019-08-12","2019-07-08","2019-08-05","LTR.2019.BART.04","2019-08-07T20:45Z","2019-08-12T14:59Z","NEON.LTR.BART070790.20190805",,"NEON.LTR.BART070790.20190805.FLR","NEON.DOC.001710vG","N","Flowers",0.0050,"N",,
"50c5ecf2-9c75-4b42-bde9-7643f0045ef3","BART_041.basePlot.ltr","D01","BART","BART_041","BART_041_578","2019-08-12","2019-07-08","2019-08-05","LTR.2019.BART.04","2019-08-07T20:45Z","2019-08-12T14:01Z","NEON.LTR.BART041578.20190805",,"NEON.LTR.BART041578.20190805.LVS","NEON.DOC.001710vG","N","Leaves",1.1000,"N",,
"4448600a-d369-4b47-8b55-ac216452e867","BART_071.basePlot.ltr","D01","BART","BART_071","BART_071_165","2019-08-12","2019-07-08","2019-08-05","LTR.2019.BART.04","2019-08-07T20:45Z","2019-08-12T15:00Z","NEON.LTR.BART071165.20190805",,"NEON.LTR.BART071165.20190805.LVS","NEON.DOC.001710vG","N","Leaves",0.6900,"N",,
"76666bf8-52dc-4916-8576-4db77386ae92","BART_032.basePlot.ltr","D01","BART","BART_032","BART_032_293","2019-08-12","2019-07-08","2019-08-05","LTR.2019.BART.04","2019-08-07T20:45Z","2019-08-12T15:00Z","NEON.LTR.BART032293.20190805",,"NEON.LTR.BART032293.20190805.NDL","NEON.DOC.001710vG","N","Needles",0.3000,"N",,
"8a385d0e-5e8f-49ee-982d-598be24f97a6","BART_073.basePlot.ltr","D01","BART","BART_073","BART_073_539","2019-08-12","2019-07-08","2019-08-05","LTR.2019.BART.04","2019-08-07T20:45Z","2019-08-12T15:00Z","NEON.LTR.BART073539.20190805",,"NEON.LTR.BART073539.20190805.MXT","NEON.DOC.001710vG","N","Mixed",2.1000,"N",,
"12086486-7ac8-4264-8084-acbc54c91512","BART_041.basePlot.ltr","D01","BART","BART_041","BART_041_292","2019-08-12","2019-07-08","2019-08-05","LTR.2019.BART.04","2019-08-07T20:45Z","2019-08-12T14:34Z","NEON.LTR.BART041292.20190805",,"NEON.LTR.BART041292.20190805.TWI","NEON.DOC.001710vG","N","Twigs/branches",0.0050,"N",,
"33946eba-3312-4478-9209-3c5e599a1b52","BART_041.basePlot.ltr","D01","BART","BART_041","BART_041_292","2019-08-12","2019-07-08","2019-08-05","LTR.2019.BART.04","2019-08-07T20:45Z","2019-08-12T14:34Z","NEON.LTR.BART041292.20190805",,"NEON.LTR.BART041292.20190805.FLR","NEON.DOC.001710vG","N","Flowers",0.0050,"N",,
"c4404605-7bf6-4972-9175-938dd93437ca","BART_040.basePlot.ltr","D01","BART","BART_040","BART_040_158","2019-08-12","2019-07-08","2019-08-05","LTR.2019.BART.04","2019-08-07T20:45Z","2019-08-12T14:16Z","NEON.LTR.BART040158.20190805",,"NEON.LTR.BART040158.20190805.OTH","NEON.DOC.001710vG","N","Other",0.3400,"N",,
"cfcefabf-8266-4b2e-851b-8d63d863cbad","BART_032.basePlot.ltr","D01","BART","BART_032","BART_032_293","2019-08-12","2019-07-08","2019-08-05","LTR.2019.BART.04","2019-08-07T20:45Z","2019-08-12T15:00Z","NEON.LTR.BART032293.20190805",,"NEON.LTR.BART032293.20190805.OTH","NEON.DOC.001710vG","N","Other",0.1800,"N",,
"59c1fdd5-6f46-4409-8872-bf0bd226a445","BART_041.basePlot.ltr","D01","BART","BART_041","BART_041_292","2019-08-12","2019-07-08","2019-08-05","LTR.2019.BART.04","2019-08-07T20:45Z","2019-08-16T14:04Z","NEON.LTR.BART041292.20190805",,"NEON.LTR.BART041292.20190805.LVS","NEON.DOC.001710vG","N","Leaves",1.0600,"Y",,
"fe805695-98a8-4268-a8a8-d8f6425a5c1c","BART_032.basePlot.ltr","D01","BART","BART_032","BART_032_293","2019-08-12","2019-07-08","2019-08-05","LTR.2019.BART.04","2019-08-07T20:45Z","2019-08-16T14:13Z","NEON.LTR.BART032293.20190805",,"NEON.LTR.BART032293.20190805.LVS","NEON.DOC.001710vG","N","Leaves",0.4900,"Y",,
"3297a0de-1984-4593-9112-142978bd91d8","BART_034.basePlot.ltr","D01","BART","BART_034","BART_034_084","2019-08-12","2019-07-08","2019-08-05","LTR.2019.BART.04","2019-08-07T20:45Z","2019-08-12T15:00Z","NEON.LTR.BART034084.20190805",,"NEON.LTR.BART034084.20190805.MXT","NEON.DOC.001710vG","N","Mixed",3.0200,"N",,
"c4a3c098-72d6-4d3c-b16c-f3900ac7ff0b","BART_040.basePlot.ltr","D01","BART","BART_040","BART_040_158","2019-08-12","2019-07-08","2019-08-05","LTR.2019.BART.04","2019-08-07T20:45Z","2019-08-16T14:06Z","NEON.LTR.BART040158.20190805",,"NEON.LTR.BART040158.20190805.LVS","NEON.DOC.001710vG","N","Leaves",0.3800,"Y",,
"8528f5f4-bb96-430a-a15a-ce2d68cd650c","BART_041.basePlot.ltr","D01","BART","BART_041","BART_041_292","2019-08-12","2019-07-08","2019-08-05","LTR.2019.BART.04","2019-08-07T20:45Z","2019-08-12T14:34Z","NEON.LTR.BART041292.20190805",,"NEON.LTR.BART041292.20190805.NDL","NEON.DOC.001710vG","N","Needles",0.1200,"N",,
"958ec9ef-526c-41f3-9c29-628eebb06c29","BART_073.basePlot.ltr","D01","BART","BART_073","BART_073_409","2019-08-12","2019-07-08","2019-08-05","LTR.2019.BART.04","2019-08-07T20:45Z","2019-08-12T15:00Z","NEON.LTR.BART073409.20190805",,"NEON.LTR.BART073409.20190805.MXT","NEON.DOC.001710vG","N","Mixed",1.7700,"N",,
"64a1a9ec-33be-466b-8ec1-172a017de405","BART_040.basePlot.ltr","D01","BART","BART_040","BART_040_158","2019-08-12","2019-07-08","2019-08-05","LTR.2019.BART.04","2019-08-07T20:45Z","2019-08-12T14:16Z","NEON.LTR.BART040158.20190805",,"NEON.LTR.BART040158.20190805.NDL","NEON.DOC.001710vG","N","Needles",0.0050,"N",,
"1e491c4c-208a-4306-a2c0-0252a48549d1","BART_071.basePlot.ltr","D01","BART","BART_071","BART_071_165","2019-08-12","2019-07-08","2019-08-05","LTR.2019.BART.04","2019-08-07T20:45Z","2019-08-12T15:00Z","NEON.LTR.BART071165.20190805",,"NEON.LTR.BART071165.20190805.OTH","NEON.DOC.001710vG","N","Other",0.8500,"N",,
"2461f344-b194-4127-9f53-326201c1a8ea","BART_070.basePlot.ltr","D01","BART","BART_070","BART_070_790","2019-08-12","2019-07-08","2019-08-05","LTR.2019.BART.04","2019-08-07T20:45Z","2019-08-12T14:59Z","NEON.LTR.BART070790.20190805",,"NEON.LTR.BART070790.20190805.OTH","NEON.DOC.001710vG","N","Other",0.0900,"N",,
"a5935033-7a0b-4b15-a2d5-3534075a7b9e","BART_040.basePlot.ltr","D01","BART","BART_040","BART_040_884","2019-08-12","2019-07-08","2019-08-05","LTR.2019.BART.04","2019-08-07T20:45Z","2019-08-12T15:00Z","NEON.LTR.BART040884.20190805",,"NEON.LTR.BART040884.20190805.MXT","NEON.DOC.001710vG","N","Mixed",2.2000,"N",,
"1fba3c82-b2cc-4eb2-83da-b322d2552239","BART_032.basePlot.ltr","D01","BART","BART_032","BART_032_293","2019-08-12","2019-07-08","2019-08-05","LTR.2019.BART.04","2019-08-07T20:45Z","2019-08-12T15:00Z","NEON.LTR.BART032293.20190805",,"NEON.LTR.BART032293.20190805.FLR","NEON.DOC.001710vG","N","Flowers",0.0200,"N",,
"13e9ad5e-46d2-41b5-b631-812b3bd29aa6","BART_041.basePlot.ltr","D01","BART","BART_041","BART_041_292","2019-08-12","2019-07-08","2019-08-05","LTR.2019.BART.04","2019-08-07T20:45Z","2019-08-12T14:34Z","NEON.LTR.BART041292.20190805",,"NEON.LTR.BART041292.20190805.LVS","NEON.DOC.001710vG","N","Leaves",1.0800,"N",,
"2c481873-16fc-4515-81a5-38a7eba25981","BART_040.basePlot.ltr","D01","BART","BART_040","BART_040_158","2019-08-12","2019-07-08","2019-08-05","LTR.2019.BART.04","2019-08-07T20:45Z","2019-08-12T14:16Z","NEON.LTR.BART040158.20190805",,"NEON.LTR.BART040158.20190805.TWI","NEON.DOC.001710vG","N","Twigs/branches",0.5600,"N",,
"cd56d533-1882-4027-976e-e9b558309313","BART_041.basePlot.ltr","D01","BART","BART_041","BART_041_292","2019-08-12","2019-07-08","2019-08-05","LTR.2019.BART.04","2019-08-07T20:45Z","2019-08-12T14:34Z","NEON.LTR.BART041292.20190805",,"NEON.LTR.BART041292.20190805.MXT","NEON.DOC.001710vG","N","Mixed",0.6100,"N",,
"3111d2f5-ae94-4cdd-85a9-0f0f9c694e3e","BART_041.basePlot.ltr","D01","BART","BART_041","BART_041_578","2019-08-12","2019-07-08","2019-08-05","LTR.2019.BART.04","2019-08-07T20:45Z","2019-08-12T14:01Z","NEON.LTR.BART041578.20190805",,"NEON.LTR.BART041578.20190805.NDL","NEON.DOC.001710vG","N","Needles",0.3200,"N",,
"a1a6f133-f642-46df-91b0-85e5021dd249","BART_070.basePlot.ltr","D01","BART","BART_070","BART_070_790","2019-08-12","2019-07-08","2019-08-05","LTR.2019.BART.04","2019-08-07T20:45Z","2019-08-12T14:59Z","NEON.LTR.BART070790.20190805",,"NEON.LTR.BART070790.20190805.SDS","NEON.DOC.001710vG","N","Seeds",0.6200,"N",,
"8277338e-7c6b-4e73-b5e8-0a8241f082a2","BART_040.basePlot.ltr","D01","BART","BART_040","BART_040_158","2019-08-12","2019-07-08","2019-08-05","LTR.2019.BART.04","2019-08-07T20:45Z","2019-08-12T14:16Z","NEON.LTR.BART040158.20190805",,"NEON.LTR.BART040158.20190805.FLR","NEON.DOC.001710vG","N","Flowers",0.0050,"N",,
"6354457d-2314-4bc1-8f35-c4e0343ba070","BART_034.basePlot.ltr","D01","BART","BART_034","BART_034_855","2019-08-12","2019-07-08","2019-08-05","LTR.2019.BART.04","2019-08-07T20:45Z","2019-08-12T15:00Z","NEON.LTR.BART034855.20190805",,"NEON.LTR.BART034855.20190805.MXT","NEON.DOC.001710vG","N","Mixed",1.0200,"N",,
"5b69f145-212a-45d3-a566-33a988c4e353","BART_034.basePlot.ltr","D01","BART","BART_034","BART_034_855","2019-08-12","2019-07-08","2019-08-05","LTR.2019.BART.04","2019-08-07T20:45Z","2019-08-12T15:00Z","NEON.LTR.BART034855.20190805",,"NEON.LTR.BART034855.20190805.TWI","NEON.DOC.001710vG","N","Twigs/branches",1.0900,"N",,
"53d43b8e-0b4b-4126-9dcd-62e223a7e93c","BART_041.basePlot.ltr","D01","BART","BART_041","BART_041_578","2019-08-12","2019-07-08","2019-08-05","LTR.2019.BART.04","2019-08-07T20:45Z","2019-08-12T14:01Z","NEON.LTR.BART041578.20190805",,"NEON.LTR.BART041578.20190805.TWI","NEON.DOC.001710vG","N","Twigs/branches",0.1300,"N",,
"5f434206-fe1f-4616-86ea-72658471bedd","BART_034.basePlot.ltr","D01","BART","BART_034","BART_034_855","2019-08-12","2019-07-08","2019-08-05","LTR.2019.BART.04","2019-08-07T20:45Z","2019-08-12T15:00Z","NEON.LTR.BART034855.20190805",,"NEON.LTR.BART034855.20190805.WDY","NEON.DOC.001710vG","N","Woody material",0.0400,"N",,
"437d8410-8c2c-41d0-a1ac-b3c1a9f90abc","BART_071.basePlot.ltr","D01","BART","BART_071","BART_071_165","2019-08-12","2019-07-08","2019-08-05","LTR.2019.BART.04","2019-08-07T20:45Z","2019-08-12T15:00Z","NEON.LTR.BART071165.20190805",,"NEON.LTR.BART071165.20190805.WDY","NEON.DOC.001710vG","N","Woody material",0.3400,"N",,
"ea9f7e43-20ad-4a67-8b4d-bf4c6f5e4211","BART_041.basePlot.ltr","D01","BART","BART_041","BART_041_292","2019-08-12","2019-07-08","2019-08-05","LTR.2019.BART.04","2019-08-07T20:45Z","2019-08-12T14:34Z","NEON.LTR.BART041292.20190805",,"NEON.LTR.BART041292.20190805.OTH","NEON.DOC.001710vG","N","Other",0.5500,"N",,
"fbb6cb19-f011-4a10-a142-de9076718713","BART_034.basePlot.ltr","D01","BART","BART_034","BART_034_855","2019-08-12","2019-07-08","2019-08-05","LTR.2019.BART.04","2019-08-07T20:45Z","2019-08-12T15:00Z","NEON.LTR.BART034855.20190805",,"NEON.LTR.BART034855.20190805.SDS","NEON.DOC.001710vG","N","Seeds",0.0200,"N",,
"17d0b8d9-74e6-4abd-b2a2-fce967d8c385","BART_070.basePlot.ltr","D01","BART","BART_070","BART_070_790","2019-08-12","2019-07-08","2019-08-05","LTR.2019.BART.04","2019-08-07T20:45Z","2019-08-12T14:59Z","NEON.LTR.BART070790.20190805",,"NEON.LTR.BART070790.20190805.TWI","NEON.DOC.001710vG","N","Twigs/branches",0.1100,"N",,
"6a1b82e3-1921-4e94-8bce-b6214506fb90","BART_047.basePlot.ltr","D01","BART","BART_047","BART_047_046","2019-08-12","2019-07-08","2019-08-05","LTR.2019.BART.04","2019-08-07T20:45Z","2019-08-16T14:14Z","NEON.LTR.BART047046.20190805",,"NEON.LTR.BART047046.20190805.MXT","NEON.DOC.001710vG","N","Mixed",2.5200,"Y",,
"882abcda-cf2e-4fd8-9b09-55aabb123c45","BART_071.basePlot.ltr","D01","BART","BART_071","BART_071_165","2019-08-12","2019-07-08","2019-08-05","LTR.2019.BART.04","2019-08-07T20:45Z","2019-08-12T15:00Z","NEON.LTR.BART071165.20190805",,"NEON.LTR.BART071165.20190805.FLR","NEON.DOC.001710vG","N","Flowers",0.2200,"N",,
"7bb871f9-6eb1-4f3f-a72d-8f3707e8da63","BART_071.basePlot.ltr","D01","BART","BART_071","BART_071_165","2019-08-12","2019-07-08","2019-08-05","LTR.2019.BART.04","2019-08-07T20:45Z","2019-08-16T14:09Z","NEON.LTR.BART071165.20190805",,"NEON.LTR.BART071165.20190805.FLR","NEON.DOC.001710vG","N","Flowers",0.1800,"Y",,
"741014ce-b2a6-435a-ad90-3c208ea3617a","BART_041.basePlot.ltr","D01","BART","BART_041","BART_041_578","2019-08-12","2019-07-08","2019-08-05","LTR.2019.BART.04","2019-08-07T20:45Z","2019-08-12T14:01Z","NEON.LTR.BART041578.20190805",,"NEON.LTR.BART041578.20190805.WDY","NEON.DOC.001710vG","N","Woody material",0.0050,"N",,
"6850acdd-c448-423d-9bd0-7d2b0677abe5","BART_032.basePlot.ltr","D01","BART","BART_032","BART_032_293","2019-08-12","2019-07-08","2019-08-05","LTR.2019.BART.04","2019-08-07T20:45Z","2019-08-12T15:00Z","NEON.LTR.BART032293.20190805",,"NEON.LTR.BART032293.20190805.TWI","NEON.DOC.001710vG","N","Twigs/branches",0.0000,"N",,
"d9132e71-1ec6-420d-94b6-869a6ab37ed2","BART_040.basePlot.ltr","D01","BART","BART_040","BART_040_158","2019-08-12","2019-07-08","2019-08-05","LTR.2019.BART.04","2019-08-07T20:45Z","2019-08-12T14:16Z","NEON.LTR.BART040158.20190805",,"NEON.LTR.BART040158.20190805.WDY","NEON.DOC.001710vG","N","Woody material",0.1300,"N",,
