uid,namedLocation,domainID,siteID,plotID,setDate,collectDate,eventID,processingDate,massSampleIDList,massSampleMixtureID,cnSampleID,cnSampleCode,ligninSampleID,ligninSampleBarcode,archiveSampleID,archiveSampleBarcode,bgcArchiveMass,toxicodendronPossible,remarks,processedBy
"b28d285a-35b4-4296-95ef-0ad92b5a7747","BART_047.basePlot.ltr","D01","BART","BART_047","2022-10-10","2022-10-24","LTR.2022.BART.43","2022-11-02","NEON.LTR.BART047046.20221024.LVS|NEON.LTR.BART047864.20221024.LVS","NEON.LTR.BART047.20221024.LVS","NEON.LTR.BART047.20221024.LVS.CN","A00000154914","NEON.LTR.BART047.20221024.LVS.LIG","A00000154990","NEON.LTR.BART047.20221024.LVS.AR","A00000154911",8.26,"N",,"0000-0003-1933-3182"
"82bc0be0-5050-4473-9ba0-0f921a504add","BART_071.basePlot.ltr","D01","BART","BART_071","2022-10-10","2022-10-24","LTR.2022.BART.43","2022-11-02","NEON.LTR.BART071579.20221024.LVS|NEON.LTR.BART071165.20221024.LVS","NEON.LTR.BART071.20221024.LVS","NEON.LTR.BART071.20221024.LVS.CN","A00000154926","NEON.LTR.BART071.20221024.LVS.LIG","A00000154910","NEON.LTR.BART071.20221024.LVS.AR","A00000154989",8.08,"N",,"0000-0003-1933-3182"
"90490980-73ad-4a3e-9419-b8df26201251","BART_040.basePlot.ltr","D01","BART","BART_040","2022-10-10","2022-10-24","LTR.2022.BART.43","2022-11-02","NEON.LTR.BART040884.20221024.LVS|NEON.LTR.BART040158.20221024.LVS","NEON.LTR.BART040.20221024.LVS","NEON.LTR.BART040.20221024.LVS.CN","A00000154945","NEON.LTR.BART040.20221024.LVS.LIG","A00000154929","NEON.LTR.BART040.20221024.LVS.AR","A00000154913",5.61,"N",,"0000-0002-7782-1339"
"adade893-ef8c-4965-9866-8ce73cfadddf","BART_042.basePlot.ltr","D01","BART","BART_042","2022-10-10","2022-10-24","LTR.2022.BART.43","2022-11-02","NEON.LTR.BART042587.20221024.LVS|NEON.LTR.BART042935.20221024.LVS","NEON.LTR.BART042.20221024.LVS","NEON.LTR.BART042.20221024.LVS.CN","A00000154992","NEON.LTR.BART042.20221024.LVS.LIG","A00000154976","NEON.LTR.BART042.20221024.LVS.AR","A00000154960",6.69,"N",,"0000-0002-7782-1339"
"9ed733be-1f89-40dc-a729-08a23e28cd55","BART_073.basePlot.ltr","D01","BART","BART_073","2022-10-10","2022-10-24","LTR.2022.BART.43","2022-11-02","NEON.LTR.BART073409.20221024.LVS|NEON.LTR.BART073539.20221024.LVS","NEON.LTR.BART073.20221024.LVS","NEON.LTR.BART073.20221024.LVS.CN","A00000154909","NEON.LTR.BART073.20221024.LVS.LIG","A00000154944","NEON.LTR.BART073.20221024.LVS.AR","A00000154928",6.91,"N",,"0000-0003-1933-3182"
"56a79e7a-2042-4ec6-ac36-922a65c1abb1","BART_044.basePlot.ltr","D01","BART","BART_044","2022-10-11","2022-10-25","LTR.2022.BART.43","2022-11-02","NEON.LTR.BART044410.20221025.LVS|NEON.LTR.BART044531.20221025.LVS","NEON.LTR.BART044.20221025.LVS","NEON.LTR.BART044.20221025.LVS.CN","A00000154973","NEON.LTR.BART044.20221025.LVS.LIG","A00000154925","NEON.LTR.BART044.20221025.LVS.AR","A00000154957",6.53,"N",,"0000-0003-1933-3182"
"3a9153a8-550d-4c8a-b2d9-f3ce30b6a31a","BART_074.basePlot.ltr","D01","BART","BART_074","2022-10-11","2022-10-25","LTR.2022.BART.43","2022-11-02","NEON.LTR.BART074555.20221025.LVS|NEON.LTR.BART074942.20221025.LVS","NEON.LTR.BART074.20221025.LVS","NEON.LTR.BART074.20221025.LVS.CN","A00000154912","NEON.LTR.BART074.20221025.LVS.LIG","A00000154991","NEON.LTR.BART074.20221025.LVS.AR","A00000154975",6.16,"N",,"0000-0003-1933-3182"
"2725ed4e-9775-44f2-ae1a-78d55f8883e8","BART_036.basePlot.ltr","D01","BART","BART_036","2022-10-11","2022-10-25","LTR.2022.BART.43","2022-11-02","NEON.LTR.BART036925.20221025.LVS|NEON.LTR.BART036151.20221025.LVS","NEON.LTR.BART036.20221025.LVS","NEON.LTR.BART036.20221025.LVS.CN","A00000154993","NEON.LTR.BART036.20221025.LVS.LIG","A00000154977","NEON.LTR.BART036.20221025.LVS.AR","A00000154961",6.44,"N",,"0000-0003-1933-3182"
"1291364e-68d5-46b0-8517-aaddcb5fffc4","BART_046.basePlot.ltr","D01","BART","BART_046","2022-10-11","2022-10-25","LTR.2022.BART.43","2022-11-02","NEON.LTR.BART046852.20221025.LVS|NEON.LTR.BART046634.20221025.LVS","NEON.LTR.BART046.20221025.LVS","NEON.LTR.BART046.20221025.LVS.CN","A00000154959","NEON.LTR.BART046.20221025.LVS.LIG","A00000154943","NEON.LTR.BART046.20221025.LVS.AR","A00000154927",8.16,"N",,"0000-0003-1933-3182"
"d472bca6-e582-447d-9c7e-d6ea4a2ac7eb","BART_050.basePlot.ltr","D01","BART","BART_050","2022-10-11","2022-10-25","LTR.2022.BART.43","2022-11-02","NEON.LTR.BART050808.20221025.LVS|NEON.LTR.BART050046.20221025.LVS","NEON.LTR.BART050.20221025.LVS","NEON.LTR.BART050.20221025.LVS.CN","A00000154974","NEON.LTR.BART050.20221025.LVS.LIG","A00000154958","NEON.LTR.BART050.20221025.LVS.AR","A00000154942",8.91,"N",,"0000-0003-1933-3182"
