uid,analysisDate,namedLocation,domainID,siteID,plotID,plotType,setDate,collectDate,massSampleMixtureID,cnSampleID,cnSampleCode,sampleType,co2Trapped,d15N,d13C,nitrogenPercent,carbonPercent,CNratio,cnIsotopeQF,cnPercentQF,isotopeAccuracyQF,percentAccuracyQF,analyticalRepNumber,remarks,laboratoryName,testMethod,instrument,analyzedBy,reviewedBy,dataQF
"5a23d92a-2a93-4181-a40d-84643ec4a6de","2023-04-17","BART_042.basePlot.ltr","D01","BART","BART_042","tower","2022-10-10T16:00Z","2022-10-24T16:00Z","NEON.LTR.BART042.20221024.LVS","NEON.LTR.BART042.20221024.LVS.CN","A00000154992","vegetation","N",-3.1,-29.0,0.68,49.43,72.4,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","H2ehOOFsaDPhLGs9nIVRag==","bEP9Ut5BMUSEVHTehx6p8Q==",
"4ab71a56-2957-4c43-9829-8a28b8f8375a","2023-04-17","BART_040.basePlot.ltr","D01","BART","BART_040","tower","2022-10-10T16:00Z","2022-10-24T16:00Z","NEON.LTR.BART040.20221024.LVS","NEON.LTR.BART040.20221024.LVS.CN","A00000154945","vegetation","N",-4.2,-29.6,0.57,48.64,84.8,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","H2ehOOFsaDPhLGs9nIVRag==","bEP9Ut5BMUSEVHTehx6p8Q==",
"270d353d-0724-44f0-91aa-e6e152ec7203","2023-04-17","BART_073.basePlot.ltr","D01","BART","BART_073","tower","2022-10-10T16:00Z","2022-10-24T16:00Z","NEON.LTR.BART073.20221024.LVS","NEON.LTR.BART073.20221024.LVS.CN","A00000154909","vegetation","N",-3.6,-29.2,0.60,50.61,84.9,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","H2ehOOFsaDPhLGs9nIVRag==","bEP9Ut5BMUSEVHTehx6p8Q==",
"142eb3fc-67aa-440d-b6d7-d057db921423","2023-04-17","BART_071.basePlot.ltr","D01","BART","BART_071","tower","2022-10-10T16:00Z","2022-10-24T16:00Z","NEON.LTR.BART071.20221024.LVS","NEON.LTR.BART071.20221024.LVS.CN","A00000154926","vegetation","N",-4.6,-30.0,0.50,49.71,98.7,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","H2ehOOFsaDPhLGs9nIVRag==","bEP9Ut5BMUSEVHTehx6p8Q==",
"a2636b9a-bc7f-4de8-94db-280f381935a6","2023-04-17","BART_047.basePlot.ltr","D01","BART","BART_047","tower","2022-10-10T16:00Z","2022-10-24T16:00Z","NEON.LTR.BART047.20221024.LVS","NEON.LTR.BART047.20221024.LVS.CN","A00000154914","vegetation","N",-3.3,-29.8,0.65,49.48,76.0,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","H2ehOOFsaDPhLGs9nIVRag==","bEP9Ut5BMUSEVHTehx6p8Q==",
"38e03aa3-824a-4c4e-b344-f18dc9fb3a6f","2023-04-17","BART_073.basePlot.ltr","D01","BART","BART_073","tower","2022-10-10T16:00Z","2022-10-24T16:00Z","NEON.LTR.BART073.20221024.LVS","NEON.LTR.BART073.20221024.LVS.CN","A00000154909","vegetation","N",-3.8,-29.2,0.59,50.36,85.1,"OK","OK","OK","OK",2,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","H2ehOOFsaDPhLGs9nIVRag==","bEP9Ut5BMUSEVHTehx6p8Q==",
"0c013fb0-1c9f-4292-9992-e2a6428f5ac8","2023-04-17","BART_050.basePlot.ltr","D01","BART","BART_050","tower","2022-10-11T16:00Z","2022-10-25T16:00Z","NEON.LTR.BART050.20221025.LVS","NEON.LTR.BART050.20221025.LVS.CN","A00000154974","vegetation","N",-3.5,-28.8,0.61,49.20,81.2,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","H2ehOOFsaDPhLGs9nIVRag==","bEP9Ut5BMUSEVHTehx6p8Q==",
"0dde9f0e-23eb-49f7-81e1-e5e4a8b2ff72","2023-04-17","BART_046.basePlot.ltr","D01","BART","BART_046","tower","2022-10-11T16:00Z","2022-10-25T16:00Z","NEON.LTR.BART046.20221025.LVS","NEON.LTR.BART046.20221025.LVS.CN","A00000154959","vegetation","N",-4.2,-29.3,0.61,49.86,81.3,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","H2ehOOFsaDPhLGs9nIVRag==","bEP9Ut5BMUSEVHTehx6p8Q==",
"82e2a83d-5aa3-4b4d-a468-5e6f33cb19fb","2023-04-17","BART_036.basePlot.ltr","D01","BART","BART_036","tower","2022-10-11T16:00Z","2022-10-25T16:00Z","NEON.LTR.BART036.20221025.LVS","NEON.LTR.BART036.20221025.LVS.CN","A00000154993","vegetation","N",-2.4,-29.2,0.66,50.15,76.1,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","H2ehOOFsaDPhLGs9nIVRag==","bEP9Ut5BMUSEVHTehx6p8Q==",
"b6028580-9b92-4a02-ae32-e8e654b53442","2023-04-17","BART_044.basePlot.ltr","D01","BART","BART_044","tower","2022-10-11T16:00Z","2022-10-25T16:00Z","NEON.LTR.BART044.20221025.LVS","NEON.LTR.BART044.20221025.LVS.CN","A00000154973","vegetation","N",-3.1,-29.0,0.58,50.10,86.6,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","H2ehOOFsaDPhLGs9nIVRag==","bEP9Ut5BMUSEVHTehx6p8Q==",
